,Pos,Pld,W,D,L,GF,GA,GD,Pts,Team,PredictedPoints,PredictedPointsExtracted,PointPredDiff
2011–12,1,38,32,4,2,121,32,+89,100,Real Madrid,Real Madrid finished the 2011-12 La Liga season with 100 points.,100.0,0.0
2011–12,2,38,28,7,3,114,29,+85,91,Barcelona,"In the 2011-12 La Liga season, Real Madrid won the title with 100 points, while Barcelona finished second with 91 points.",100.0,9.0
2011–12,3,38,17,10,11,59,44,+15,61,Valencia,Valencia finished the 2011-12 La Liga season with 61 points.,61.0,0.0
2011–12,4,38,17,7,14,54,53,+1,58,Málaga,Málaga finished the 2011-12 La Liga season with 58 points.,58.0,0.0
2011–12,5,38,15,11,12,53,46,+7,56,Atlético Madrid,"In the 2011-12 La Liga season, Atlético Madrid finished with 56 points.",56.0,0.0
2011–12,6,38,16,7,15,54,50,+4,55,Levante,Levante finished the 2011-12 La Liga season with 55 points.,55.0,0.0
2011–12,7,38,13,15,10,44,61,−17,54,Osasuna,Osasuna finished the 2011-12 La Liga season with 43 points.,43.0,11.0
2011–12,8,38,14,10,14,42,46,−4,52,Mallorca,Mallorca finished the 2011-12 La Liga season with 42 points.,42.0,10.0
2011–12,9,38,13,11,14,48,47,+1,50,Sevilla,Sevilla finished the 2011-12 La Liga season with 50 points.,50.0,0.0
2011–12,10,38,12,13,13,49,52,−3,49,Athletic Bilbao,Athletic Bilbao finished the 2011-12 La Liga season with 55 points.,55.0,6.0
2011–12,11,38,12,11,15,40,51,−11,47,Getafe,Getafe finished the 2011-12 La Liga season with 47 points.,47.0,0.0
2011–12,12,38,12,11,15,46,52,−6,47,Real Sociedad,Real Sociedad finished the 2011-12 La Liga season with 47 points.,47.0,0.0
2011–12,13,38,13,8,17,47,56,−9,47,Real Betis,Real Betis finished the 2011-12 La Liga season with 56 points.,56.0,9.0
2011–12,14,38,12,10,16,46,56,−10,46,Espanyol,Espanyol finished the 2011-12 La Liga season with 46 points.,46.0,0.0
2011–12,15,38,13,4,21,53,73,−20,43,Rayo Vallecano,Rayo Vallecano finished the 2011-12 La Liga season with 43 points.,43.0,0.0
2011–12,16,38,12,7,19,36,61,−25,43,Zaragoza,"In the 2011-12 La Liga season, Real Zaragoza finished with 46 points.",46.0,3.0
2011–12,17,38,12,6,20,35,56,−21,42,Granada,Granada finished the 2011-12 La Liga season with 42 points.,42.0,0.0
2011–12,18,38,9,14,15,39,53,−14,41,Villarreal,Villarreal finished the 2011-12 La Liga season with 41 points.,41.0,0.0
2011–12,19,38,10,7,21,42,69,−27,37,Sporting Gijón,Sporting Gijón finished the 2011-12 La Liga season with 37 points.,37.0,0.0
2011–12,20,38,4,15,19,28,63,−35,27,Racing Santander,Racing Santander finished the 2011-12 La Liga season with 27 points.,27.0,0.0
2012–13,1,38,32,4,2,115,40,+75,100,Barcelona,Barcelona finished the 2012-13 La Liga season with 100 points.,100.0,0.0
2012–13,2,38,26,7,5,103,42,+61,85,Real Madrid,"In the 2012-13 La Liga season, Real Madrid finished with 85 points.",85.0,0.0
2012–13,3,38,23,7,8,65,31,+34,76,Atlético Madrid,"In the 2012-13 La Liga season, Atlético Madrid finished with 76 points.",76.0,0.0
2012–13,4,38,18,12,8,70,49,+21,66,Real Sociedad,Real Sociedad finished the 2012-13 La Liga season with 66 points.,66.0,0.0
2012–13,5,38,19,8,11,67,54,+13,65,Valencia,Valencia finished the 2012-13 La Liga season with 65 points.,65.0,0.0
2012–13,6,38,16,9,13,53,50,+3,57,Málaga,Málaga finished the 2012-13 La Liga season with 57 points.,57.0,0.0
2012–13,7,38,16,8,14,57,56,+1,56,Real Betis,Real Betis finished the 2012-13 La Liga season with 47 points.,47.0,9.0
2012–13,8,38,16,5,17,50,66,−16,53,Rayo Vallecano,Rayo Vallecano finished the 2012-13 La Liga season with 40 points.,40.0,13.0
2012–13,9,38,14,8,16,58,54,+4,50,Sevilla,Sevilla finished the 2012-13 La Liga season with 47 points.,47.0,3.0
2012–13,10,38,13,8,17,43,57,−14,47,Getafe,Getafe finished the 2012-13 La Liga season with 47 points.,47.0,0.0
2012–13,11,38,12,10,16,40,57,−17,46,Levante,Levante finished the 2012-13 La Liga season with 46 points.,46.0,0.0
2012–13,12,38,12,9,17,44,65,−21,45,Athletic Bilbao,Athletic Bilbao finished the 2012-13 La Liga season with 45 points.,45.0,0.0
2012–13,13,38,11,11,16,43,52,−9,44,Espanyol,Espanyol finished the 2012-13 La Liga season with 44 points.,44.0,0.0
2012–13,14,38,11,10,17,49,58,−9,43,Valladolid,Valladolid finished the 2012-13 La Liga season with 43 points.,43.0,0.0
2012–13,15,38,11,9,18,37,54,−17,42,Granada,Granada finished the 2012-13 La Liga season with 32 points.,32.0,10.0
2012–13,16,38,10,9,19,33,50,−17,39,Osasuna,Osasuna finished the 2012-13 La Liga season with 39 points.,39.0,0.0
2012–13,17,38,10,7,21,37,52,−15,37,Celta Vigo,Celta Vigo finished the 2012-13 La Liga season with 37 points.,37.0,0.0
2012–13,18,38,9,9,20,43,72,−29,36,Mallorca,Mallorca finished the 2012-13 La Liga season with 36 points.,36.0,0.0
2012–13,19,38,8,11,19,47,70,−23,35,Deportivo La Coruña,"Deportivo La Coruña was relegated to the Segunda División at the end of the 2012-13 season, and they finished with 35 points.",35.0,0.0
2012–13,20,38,9,7,22,37,62,−25,34,Zaragoza,Real Zaragoza finished the 2012-13 La Liga season with 34 points.,34.0,0.0
2013–14,1,38,28,6,4,77,26,+51,90,Atlético Madrid,Atlético Madrid finished the 2013-14 La Liga season with 90 points.,90.0,0.0
2013–14,2,38,27,6,5,100,33,+67,87,Barcelona,"In the 2013-14 La Liga season, Barcelona finished with 87 points.",87.0,0.0
2013–14,3,38,27,6,5,104,38,+66,87,Real Madrid,Real Madrid finished the 2013-14 La Liga season with 87 points.,87.0,0.0
2013–14,4,38,20,10,8,66,39,+27,70,Athletic Bilbao,Athletic Bilbao finished the 2013-14 La Liga season with 70 points.,70.0,0.0
2013–14,5,38,18,9,11,69,52,+17,63,Sevilla,Sevilla finished the 2013-14 La Liga season with 63 points.,63.0,0.0
2013–14,6,38,17,8,13,60,44,+16,59,Villarreal,Villarreal finished the 2013-14 La Liga season with 59 points.,59.0,0.0
2013–14,7,38,16,11,11,62,55,+7,59,Real Sociedad,Real Sociedad finished the 2013-14 La Liga season with 61 points.,61.0,2.0
2013–14,8,38,13,10,15,51,53,−2,49,Valencia,Valencia finished the 2013-14 La Liga season with 63 points.,63.0,14.0
2013–14,9,38,14,7,17,49,54,−5,49,Celta Vigo,Celta Vigo finished the 2013-14 La Liga season with 39 points.,39.0,10.0
2013–14,10,38,12,12,14,35,43,−8,48,Levante,Levante finished the 2013-14 La Liga season with 37 points.,37.0,11.0
2013–14,11,38,12,9,17,39,46,−7,45,Málaga,Málaga finished the 2013-14 La Liga season with 45 points.,45.0,0.0
2013–14,12,38,13,4,21,46,80,−34,43,Rayo Vallecano,Rayo Vallecano finished the 2013-14 La Liga season with 32 points.,32.0,11.0
2013–14,13,38,11,9,18,35,54,−19,42,Getafe,Getafe finished the 2013-14 La Liga season with 37 points.,37.0,5.0
2013–14,14,38,11,9,18,41,51,−10,42,Espanyol,Espanyol finished the 2013-14 La Liga season with 42 points.,42.0,0.0
2013–14,15,38,12,5,21,32,56,−24,41,Granada,Granada finished the 2013-14 La Liga season with 37 points.,37.0,4.0
2013–14,16,38,9,13,16,30,50,−20,40,Elche,Elche finished the 2013-14 La Liga season with 40 points.,40.0,0.0
2013–14,17,38,11,7,20,43,71,−28,40,Almería,Almería finished the 2013-14 La Liga season with 40 points.,40.0,0.0
2013–14,18,38,10,9,19,32,62,−30,39,Osasuna,Osasuna finished the 2013-14 La Liga season with 39 points.,39.0,0.0
2013–14,19,38,7,15,16,38,60,−22,36,Valladolid,Valladolid finished the 2013-14 La Liga season with 36 points.,36.0,0.0
2013–14,20,38,6,7,25,36,78,−42,25,Real Betis,Real Betis finished the 2013-14 La Liga season with 25 points.,25.0,0.0
2014–15,1,38,30,4,4,110,21,+89,94,Barcelona,Barcelona finished the 2014-15 La Liga season with 94 points.,94.0,0.0
2014–15,2,38,30,2,6,118,38,+80,92,Real Madrid,Real Madrid finished the 2014-15 La Liga season with 92 points.,92.0,0.0
2014–15,3,38,23,9,6,67,29,+38,78,Atlético Madrid,"In the 2014-15 La Liga season, Atlético Madrid finished with 78 points.",78.0,0.0
2014–15,4,38,22,11,5,70,32,+38,77,Valencia,Valencia finished the 2014-15 La Liga season with 77 points.,77.0,0.0
2014–15,5,38,23,7,8,71,45,+26,76,Sevilla,Sevilla finished the 2014-15 La Liga season with 76 points.,76.0,0.0
2014–15,6,38,16,12,10,48,37,+11,60,Villarreal,Villarreal finished the 2014-15 La Liga season with 60 points.,60.0,0.0
2014–15,7,38,15,10,13,42,41,+1,55,Athletic Bilbao,Athletic Bilbao finished the 2014-15 La Liga season with 55 points.,55.0,0.0
2014–15,8,38,13,12,13,47,44,+3,51,Celta Vigo,Celta Vigo finished the 2014-15 La Liga season with 51 points.,51.0,0.0
2014–15,9,38,14,8,16,42,48,−6,50,Málaga,Málaga finished the 2014-15 La Liga season with 46 points.,46.0,4.0
2014–15,10,38,13,10,15,47,51,−4,49,Espanyol,Espanyol finished the 2014-15 La Liga season with 49 points.,49.0,0.0
2014–15,11,38,15,4,19,46,68,−22,49,Rayo Vallecano,Rayo Vallecano finished the 2014-15 La Liga season with 49 points.,49.0,0.0
2014–15,12,38,11,13,14,44,51,−7,46,Real Sociedad,Real Sociedad finished the 2014-15 La Liga season with 46 points.,46.0,0.0
2014–15,13,38,11,8,19,35,62,−27,41,Elche[d],Elche finished the 2014-15 La Liga season with 35 points.,35.0,6.0
2014–15,14,38,9,10,19,34,67,−33,37,Levante,Levante finished the 2014-15 La Liga season with 37 points.,37.0,0.0
2014–15,15,38,10,7,21,33,64,−31,37,Getafe,Getafe finished the 2014-15 La Liga season with 37 points.,37.0,0.0
2014–15,16,38,7,14,17,35,60,−25,35,Deportivo La Coruña,"Deportivo La Coruña was relegated to the Segunda División at the end of the 2012-13 season, so they did not participate in the 2014-15 La Liga season.",,
2014–15,17,38,7,14,17,29,64,−35,35,Granada,Granada finished the 2014-15 La Liga season with 35 points.,35.0,0.0
2014–15,18,38,9,8,21,34,55,−21,35,Eibar,Eibar finished the 2014-15 La Liga season with 35 points.,35.0,0.0
2014–15,19,38,8,8,22,35,64,−29,29,Almería[g],"According to the records, Almería finished the 2014-15 La Liga season with 29 points.",29.0,0.0
2014–15,20,38,3,11,24,22,68,−46,20,Córdoba,Córdoba finished the 2014-15 La Liga season with 20 points.,20.0,0.0
2015–16,1,38,29,4,5,112,29,+83,91,Barcelona,Barcelona finished the 2015-16 La Liga season with 91 points.,91.0,0.0
2015–16,2,38,28,6,4,110,34,+76,90,Real Madrid,Real Madrid finished the 2015-16 La Liga season with 90 points.,90.0,0.0
2015–16,3,38,28,4,6,63,18,+45,88,Atlético Madrid,"In the 2015-16 La Liga season, Atlético Madrid finished with 88 points.",88.0,0.0
2015–16,4,38,18,10,10,44,35,+9,64,Villarreal,Villarreal finished the 2015-16 La Liga season with 64 points.,64.0,0.0
2015–16,5,38,18,8,12,58,45,+13,62,Athletic Bilbao,Athletic Bilbao finished the 2015-16 La Liga season with 62 points.,62.0,0.0
2015–16,6,38,17,9,12,51,59,−8,60,Celta Vigo,Celta Vigo finished the 2015-16 La Liga season with 60 points.,60.0,0.0
2015–16,7,38,14,10,14,51,50,+1,52,Sevilla,Sevilla finished the 2015-16 La Liga season with 52 points.,52.0,0.0
2015–16,8,38,12,12,14,38,35,+3,48,Málaga,Málaga finished the 2015-16 La Liga season with 48 points.,48.0,0.0
2015–16,9,38,13,9,16,45,48,−3,48,Real Sociedad,Real Sociedad finished the 2015-16 La Liga season with 48 points.,48.0,0.0
2015–16,10,38,11,12,15,34,52,−18,45,Real Betis,Real Betis finished the 2015-16 La Liga season with 28 points.,28.0,17.0
2015–16,11,38,12,8,18,45,53,−8,44,Las Palmas,Las Palmas finished the 2015-16 La Liga season with 44 points.,44.0,0.0
2015–16,12,38,11,11,16,46,48,−2,44,Valencia,Valencia finished the 2015-16 La Liga season with 44 points.,44.0,0.0
2015–16,13,38,12,7,19,40,74,−34,43,Espanyol,Espanyol finished the 2015-16 La Liga season with 40 points.,40.0,3.0
2015–16,14,38,11,10,17,49,61,−12,43,Eibar,Eibar finished the 2015-16 La Liga season with 43 points.,43.0,0.0
2015–16,15,38,8,18,12,45,61,−16,42,Deportivo La Coruña,Deportivo La Coruña finished the 2015-16 La Liga season with 42 points.,42.0,0.0
2015–16,16,38,10,9,19,46,69,−23,39,Granada,Granada finished the 2015-16 La Liga season with 35 points.,35.0,4.0
2015–16,17,38,10,9,19,40,62,−22,39,Sporting Gijón,Sporting Gijón finished the 2015-16 La Liga season with 39 points.,39.0,0.0
2015–16,18,38,9,11,18,52,73,−21,38,Rayo Vallecano,Rayo Vallecano finished the 2015-16 La Liga season with 51 points.,51.0,13.0
2015–16,19,38,9,9,20,37,67,−30,36,Getafe,Getafe finished the 2015-16 La Liga season with 36 points.,36.0,0.0
2015–16,20,38,8,8,22,37,70,−33,32,Levante,Levante finished the 2015-16 La Liga season with 37 points.,37.0,5.0
2016–17,1,38,29,6,3,106,41,+65,93,Real Madrid,Real Madrid finished the 2016-17 La Liga season with 93 points.,93.0,0.0
2016–17,2,38,28,6,4,116,37,+79,90,Barcelona,"In the 2016-17 La Liga season, Barcelona finished with 93 points.",93.0,3.0
2016–17,3,38,23,9,6,70,27,+43,78,Atlético Madrid,"In the 2016-17 La Liga season, Atlético Madrid finished with 78 points.",78.0,0.0
2016–17,4,38,21,9,8,69,49,+20,72,Sevilla,Sevilla finished the 2016-17 La Liga season with 72 points.,72.0,0.0
2016–17,5,38,19,10,9,56,33,+23,67,Villarreal,Villarreal finished the 2016-17 La Liga season with 67 points.,67.0,0.0
2016–17,6,38,19,7,12,59,53,+6,64,Real Sociedad,Real Sociedad finished the 2016-17 La Liga season with 62 points.,62.0,2.0
2016–17,7,38,19,6,13,53,43,+10,63,Athletic Bilbao,Athletic Bilbao finished the 2016-17 La Liga season with 63 points.,63.0,0.0
2016–17,8,38,15,11,12,49,50,−1,56,Espanyol,Espanyol finished the 2016-17 La Liga season with 56 points.,56.0,0.0
2016–17,9,38,14,13,11,41,43,−2,55,Alavés,Alavés finished the 2016-17 La Liga season with 44 points.,44.0,11.0
2016–17,10,38,15,9,14,56,51,+5,54,Eibar,Eibar finished the 2016-17 La Liga season with 54 points.,54.0,0.0
2016–17,11,38,12,10,16,49,55,−6,46,Málaga,Málaga finished the 2016-17 La Liga season with 46 points.,46.0,0.0
2016–17,12,38,13,7,18,56,65,−9,46,Valencia,Valencia finished the 2016-17 La Liga season with 73 points.,73.0,27.0
2016–17,13,38,13,6,19,53,69,−16,45,Celta Vigo,Celta Vigo finished the 2016-17 La Liga season with 45 points.,45.0,0.0
2016–17,14,38,10,9,19,53,74,−21,39,Las Palmas,Las Palmas finished the 2016-17 La Liga season with 39 points.,39.0,0.0
2016–17,15,38,10,9,19,41,64,−23,39,Real Betis,Real Betis finished the 2016-17 La Liga season with 39 points.,39.0,0.0
2016–17,16,38,8,12,18,43,61,−18,36,Deportivo La Coruña,Deportivo La Coruña finished the 2016-17 La Liga season with 36 points.,36.0,0.0
2016–17,17,38,8,11,19,36,55,−19,35,Leganés,Leganés finished the 2016-17 La Liga season with 44 points.,44.0,9.0
2016–17,18,38,7,10,21,42,72,−30,31,Sporting Gijón,Sporting Gijón finished the 2016-17 La Liga season with 31 points.,31.0,0.0
2016–17,19,38,4,10,24,40,94,−54,22,Osasuna,Osasuna finished the 2016-17 La Liga season with 22 points.,22.0,0.0
2016–17,20,38,4,8,26,30,82,−52,20,Granada,Granada finished the 2016-17 La Liga season with 20 points.,20.0,0.0
2017–18,1,38,28,9,1,99,29,+70,93,Barcelona,Barcelona finished the 2017-18 La Liga season with 93 points.,93.0,0.0
2017–18,2,38,23,10,5,58,22,+36,79,Atlético Madrid,"In the 2017-18 La Liga season, Atlético Madrid finished with 79 points.",79.0,0.0
2017–18,3,38,22,10,6,94,44,+50,76,Real Madrid,"In the 2017-18 La Liga season, Real Madrid finished with 76 points.",76.0,0.0
2017–18,4,38,22,7,9,65,38,+27,73,Valencia,Valencia finished the 2017-18 La Liga season with 73 points.,73.0,0.0
2017–18,5,38,18,7,13,57,50,+7,61,Villarreal,Villarreal finished the 2017-18 La Liga season with 61 points.,61.0,0.0
2017–18,6,38,18,6,14,60,61,−1,60,Real Betis,Real Betis finished the 2017-18 La Liga season with 61 points.,61.0,1.0
2017–18,7,38,17,7,14,49,58,−9,58,Sevilla,Sevilla finished the 2017-18 La Liga season with 71 points.,71.0,13.0
2017–18,8,38,15,10,13,42,33,+9,55,Getafe,Getafe finished the 2017-18 La Liga season with 55 points.,55.0,0.0
2017–18,9,38,14,9,15,44,50,−6,51,Eibar,Eibar finished the 2017-18 La Liga season with 51 points.,51.0,0.0
2017–18,10,38,14,9,15,50,59,−9,51,Girona,Girona finished the 2017-18 La Liga season with 51 points.,51.0,0.0
2017–18,11,38,12,13,13,36,42,−6,49,Espanyol,Espanyol finished the 2017-18 La Liga season with 36 points.,36.0,13.0
2017–18,12,38,14,7,17,66,59,+7,49,Real Sociedad,Real Sociedad finished the 2017-18 La Liga season with 59 points.,59.0,10.0
2017–18,13,38,13,10,15,59,60,−1,49,Celta Vigo,Celta Vigo finished the 2017-18 La Liga season with 49 points.,49.0,0.0
2017–18,14,38,15,2,21,40,50,−10,47,Alavés,Alavés finished the 2017-18 La Liga season with 40 points.,40.0,7.0
2017–18,15,38,11,13,14,44,58,−14,46,Levante,Levante finished the 2017-18 La Liga season with 46 points.,46.0,0.0
2017–18,16,38,10,13,15,41,49,−8,43,Athletic Bilbao,Athletic Bilbao finished the 2017-18 La Liga season with 43 points.,43.0,0.0
2017–18,17,38,12,7,19,34,51,−17,43,Leganés,Leganés finished the 2017-18 La Liga season with 45 points.,45.0,2.0
2017–18,18,38,6,11,21,38,76,−38,29,Deportivo La Coruña,Deportivo La Coruña finished the 2017-18 La Liga season with 29 points.,29.0,0.0
2017–18,19,38,5,7,26,24,74,−50,22,Las Palmas,Las Palmas finished the 2017-18 La Liga season with 22 points.,22.0,0.0
2017–18,20,38,5,5,28,24,61,−37,20,Málaga,Málaga finished the 2017-18 La Liga season with 20 points.,20.0,0.0
2018–19,1,38,26,9,3,90,36,+54,87,Barcelona,Barcelona finished the 2018-19 La Liga season with 87 points.,87.0,0.0
2018–19,2,38,22,10,6,55,29,+26,76,Atlético Madrid,"In the 2018-19 La Liga season, Atlético Madrid finished with 76 points.",76.0,0.0
2018–19,3,38,21,5,12,63,46,+17,68,Real Madrid,"In the 2018-19 La Liga season, Real Madrid finished with 68 points.",68.0,0.0
2018–19,4,38,15,16,7,51,35,+16,61,Valencia,Valencia finished the 2018-19 La Liga season with 61 points.,61.0,0.0
2018–19,5,38,15,14,9,48,35,+13,59,Getafe,Getafe finished the 2018-19 La Liga season with 59 points.,59.0,0.0
2018–19,6,38,17,8,13,62,47,+15,59,Sevilla,Sevilla finished the 2018-19 La Liga season with 59 points.,59.0,0.0
2018–19,7,38,14,11,13,48,50,−2,53,Espanyol,Espanyol finished the 2018-19 La Liga season with 53 points.,53.0,0.0
2018–19,8,38,13,14,11,41,45,−4,53,Athletic Bilbao,Athletic Bilbao finished the 2018-19 La Liga season with 53 points.,53.0,0.0
2018–19,9,38,13,11,14,45,46,−1,50,Real Sociedad,Real Sociedad finished the 2018-19 La Liga season with 56 points.,56.0,6.0
2018–19,10,38,14,8,16,44,52,−8,50,Real Betis,Real Betis finished the 2018-19 La Liga season with 50 points.,50.0,0.0
2018–19,11,38,13,11,14,39,50,−11,50,Alavés,Alavés finished the 2018-19 La Liga season with 50 points.,50.0,0.0
2018–19,12,38,11,14,13,46,50,−4,47,Eibar,Eibar finished the 2018-19 La Liga season with 47 points.,47.0,0.0
2018–19,13,38,11,12,15,37,43,−6,45,Leganés,Leganés finished the 2018-19 La Liga season with 45 points.,45.0,0.0
2018–19,14,38,10,14,14,49,52,−3,44,Villarreal,Villarreal finished the 2018-19 La Liga season with 44 points.,44.0,0.0
2018–19,15,38,11,11,16,59,66,−7,44,Levante,Levante finished the 2018-19 La Liga season with 44 points.,44.0,0.0
2018–19,16,38,10,11,17,32,51,−19,41,Valladolid,"In the 2018-19 La Liga season, Real Valladolid finished with 41 points.",41.0,0.0
2018–19,17,38,10,11,17,53,62,−9,41,Celta Vigo,Celta Vigo finished the 2018-19 La Liga season with 40 points.,40.0,1.0
2018–19,18,38,9,10,19,37,53,−16,37,Girona,Girona finished the 2018-19 La Liga season with 37 points.,37.0,0.0
2018–19,19,38,7,12,19,43,65,−22,33,Huesca,Huesca finished the 2018-19 La Liga season with 33 points.,33.0,0.0
2018–19,20,38,8,8,22,41,70,−29,32,Rayo Vallecano,Rayo Vallecano finished the 2018-19 La Liga season with 32 points.,32.0,0.0
2019–20,1,38,26,9,3,70,25,+45,87,Real Madrid,Real Madrid finished the 2019-20 La Liga season with 87 points.,87.0,0.0
2019–20,2,38,25,7,6,86,38,+48,82,Barcelona,"In the 2019-20 La Liga season, Barcelona finished with 82 points.",82.0,0.0
2019–20,3,38,18,16,4,51,27,+24,70,Atlético Madrid,"In the 2019-20 La Liga season, Atlético Madrid finished with 70 points.",70.0,0.0
2019–20,4,38,19,13,6,54,34,+20,70,Sevilla,Sevilla finished the 2019-20 La Liga season with 70 points.,70.0,0.0
2019–20,5,38,18,6,14,63,49,+14,60,Villarreal,Villarreal finished the 2019-20 La Liga season with 58 points.,58.0,2.0
2019–20,6,38,16,8,14,56,48,+8,56,Real Sociedad,Real Sociedad finished the 2019-20 La Liga season with 56 points.,56.0,0.0
2019–20,7,38,16,8,14,52,45,+7,56,Granada,Granada finished the 2019-20 La Liga season with 56 points.,56.0,0.0
2019–20,8,38,14,12,12,43,37,+6,54,Getafe,Getafe finished the 2019-20 La Liga season with 54 points.,54.0,0.0
2019–20,9,38,14,11,13,46,53,−7,53,Valencia,Valencia finished the 2019-20 La Liga season with 53 points.,53.0,0.0
2019–20,10,38,13,13,12,46,54,−8,52,Osasuna,Osasuna finished the 2019-20 La Liga season with 52 points.,52.0,0.0
2019–20,11,38,13,12,13,41,38,+3,51,Athletic Bilbao,Athletic Bilbao finished the 2019-20 La Liga season with 51 points.,51.0,0.0
2019–20,12,38,14,7,17,47,53,−6,49,Levante,"In the 2019-20 La Liga season, Levante finished with 42 points.",42.0,7.0
2019–20,13,38,9,15,14,32,43,−11,42,Valladolid,"In the 2019-20 La Liga season, Real Valladolid finished with 39 points.",39.0,3.0
2019–20,14,38,11,9,18,39,56,−17,42,Eibar,Eibar finished the 2019-20 La Liga season with 36 points.,36.0,6.0
2019–20,15,38,10,11,17,48,60,−12,41,Real Betis,Real Betis finished the 2019-20 La Liga season with 41 points.,41.0,0.0
2019–20,16,38,10,9,19,34,59,−25,39,Alavés,Alavés finished the 2019-20 La Liga season with 39 points.,39.0,0.0
2019–20,17,38,7,16,15,37,49,−12,37,Celta Vigo,Celta Vigo finished the 2019-20 La Liga season with 37 points.,37.0,0.0
2019–20,18,38,8,12,18,30,51,−21,36,Leganés,Leganés finished the 2019-20 La Liga season with 36 points.,36.0,0.0
2019–20,19,38,9,6,23,40,65,−25,33,Mallorca,"In the 2019-20 La Liga season, Mallorca finished with 33 points.",33.0,0.0
2019–20,20,38,5,10,23,27,58,−31,25,Espanyol,Espanyol finished the 2019-20 La Liga season with 25 points.,25.0,0.0
2020–21,1,38,26,8,4,67,25,+42,86,Atlético Madrid,Atlético Madrid finished the 2020-21 La Liga season with 86 points.,86.0,0.0
2020–21,2,38,25,9,4,67,28,+39,84,Real Madrid,Real Madrid finished the 2020-21 La Liga season with 84 points.,84.0,0.0
2020–21,3,38,24,7,7,85,38,+47,79,Barcelona,"In the 2020-21 La Liga season, Barcelona finished with 79 points.",79.0,0.0
2020–21,4,38,24,5,9,53,33,+20,77,Sevilla,Sevilla finished the 2020-21 La Liga season with 74 points.,74.0,3.0
2020–21,5,38,17,11,10,59,38,+21,62,Real Sociedad,Real Sociedad finished the 2020-21 La Liga season with 62 points.,62.0,0.0
2020–21,6,38,17,10,11,50,50,0,61,Real Betis,Real Betis finished the 2020-21 La Liga season with 61 points.,61.0,0.0
2020–21,7,38,15,13,10,60,44,+16,58,Villarreal,Villarreal finished the 2020-21 La Liga season with 67 points.,67.0,9.0
2020–21,8,38,14,11,13,55,57,−2,53,Celta Vigo,Celta Vigo finished the 2020-21 La Liga season with 53 points.,53.0,0.0
2020–21,9,38,13,7,18,47,65,−18,46,Granada,Granada finished the 2020-21 La Liga season with 47 points.,47.0,1.0
2020–21,10,38,11,13,14,46,42,+4,46,Athletic Bilbao,Athletic Bilbao finished the 2020-21 La Liga season with 46 points.,46.0,0.0
2020–21,11,38,11,11,16,37,48,−11,44,Osasuna,Osasuna finished the 2020-21 La Liga season with 47 points.,47.0,3.0
2020–21,12,38,11,11,16,36,58,−22,44,Cádiz,Cádiz finished the 2020-21 La Liga season with 40 points.,40.0,4.0
2020–21,13,38,10,13,15,50,53,−3,43,Valencia,Valencia finished the 2020-21 La Liga season with 43 points.,43.0,0.0
2020–21,14,38,9,14,15,46,57,−11,41,Levante,Levante finished the 2020-21 La Liga season with 40 points.,40.0,1.0
2020–21,15,38,9,11,18,28,43,−15,38,Getafe,Getafe finished the 2020-21 La Liga season with 38 points.,38.0,0.0
2020–21,16,38,9,11,18,36,57,−21,38,Alavés,Alavés finished the 2020-21 La Liga season with 31 points.,31.0,7.0
2020–21,17,38,8,12,18,34,55,−21,36,Elche,Elche finished the 2020-21 La Liga season with 42 points.,42.0,6.0
2020–21,18,38,7,13,18,34,53,−19,34,Huesca,Huesca finished the 2020-21 La Liga season with 34 points.,34.0,0.0
2020–21,19,38,5,16,17,34,57,−23,31,Valladolid,Valladolid finished the 2020-21 La Liga season with 31 points.,31.0,0.0
2020–21,20,38,6,12,20,29,52,−23,30,Eibar,Eibar finished the 2020-21 La Liga season with 30 points.,30.0,0.0
2021–22,1,38,26,8,4,80,31,+49,86,Real Madrid,Real Madrid finished the 2021-22 La Liga season with 86 points.,86.0,0.0
2021–22,2,38,21,10,7,68,38,+30,73,Barcelona,Barcelona finished the 2021-22 La Liga season with 73 points.,73.0,0.0
2021–22,3,38,21,8,9,65,43,+22,71,Atlético Madrid,"According to the 2021-22 La Liga season standings, Atlético Madrid finished with 71 points.",71.0,0.0
2021–22,4,38,18,16,4,53,30,+23,70,Sevilla,Sevilla finished the 2021-22 La Liga season with 74 points.,74.0,4.0
2021–22,5,38,19,8,11,62,40,+22,65,Real Betis,Real Betis finished the 2021-22 La Liga season with 65 points.,65.0,0.0
2021–22,6,38,17,11,10,40,37,+3,62,Real Sociedad,Real Sociedad finished the 2021-22 La Liga season with 62 points.,62.0,0.0
2021–22,7,38,16,11,11,63,37,+26,59,Villarreal,Villarreal finished the 2021-22 La Liga season with 59 points.,59.0,0.0
2021–22,8,38,14,13,11,43,36,+7,55,Athletic Bilbao,Athletic Bilbao finished the 2021-22 La Liga season with 51 points.,51.0,4.0
2021–22,9,38,11,15,12,48,53,−5,48,Valencia,Valencia finished the 2021-22 La Liga season with 48 points.,48.0,0.0
2021–22,10,38,12,11,15,37,51,−14,47,Osasuna,"According to the 2021-22 La Liga season standings, Osasuna finished with 47 points.",47.0,0.0
2021–22,11,38,12,10,16,43,43,0,46,Celta Vigo,Celta Vigo finished the 2021-22 La Liga season with 46 points.,46.0,0.0
2021–22,12,38,11,9,18,39,50,−11,42,Rayo Vallecano,"According to the 2021-22 La Liga season standings, Rayo Vallecano finished with 48 points.",48.0,6.0
